时间,收盘价,DEA
2024-10-22 22:05:00,1273.0,0
2024-10-22 22:10:00,1277.0,0
2024-10-22 22:15:00,1274.0,0
2024-10-22 22:20:00,1276.0,0
2024-10-22 22:25:00,1275.0,0
2024-10-22 22:30:00,1276.0,0
2024-10-22 22:35:00,1273.0,0
2024-10-22 22:40:00,1272.0,0
2024-10-22 22:45:00,1277.0,0
2024-10-22 22:50:00,1275.0,0
2024-10-22 22:55:00,1277.0,0
2024-10-22 23:00:00,1275.0,0
2024-10-23 09:05:00,1271.0,0
2024-10-23 09:10:00,1272.0,0
2024-10-23 09:15:00,1265.0,0
2024-10-23 09:20:00,1258.0,0
2024-10-23 09:25:00,1263.0,-1
2024-10-23 09:30:00,1261.0,-1
2024-10-23 09:35:00,1262.0,-1
2024-10-23 09:40:00,1262.0,-2
2024-10-23 09:45:00,1265.0,-2
2024-10-23 09:50:00,1262.0,-2
2024-10-23 09:55:00,1261.0,-2
2024-10-23 10:00:00,1265.0,-3
2024-10-23 10:05:00,1263.0,-3
2024-10-23 10:10:00,1260.0,-3
2024-10-23 10:15:00,1257.0,-3
2024-10-23 10:35:00,1251.0,-3
2024-10-23 10:40:00,1247.0,-3
2024-10-23 10:45:00,1250.0,-4
2024-10-23 10:50:00,1247.0,-4
2024-10-23 10:55:00,1243.0,-5
2024-10-23 11:00:00,1242.0,-5
2024-10-23 11:05:00,1247.0,-5
2024-10-23 11:10:00,1248.0,-6
2024-10-23 11:15:00,1252.0,-6
2024-10-23 11:20:00,1251.0,-6
2024-10-23 11:25:00,1251.0,-5
2024-10-23 11:30:00,1257.0,-5
2024-10-23 13:35:00,1258.0,-5
2024-10-23 13:40:00,1262.0,-4
2024-10-23 13:45:00,1259.0,-4
2024-10-23 13:50:00,1260.0,-3
2024-10-23 13:55:00,1259.0,-3
2024-10-23 14:00:00,1260.0,-2
2024-10-23 14:05:00,1256.0,-2
2024-10-23 14:10:00,1251.0,-2
2024-10-23 14:15:00,1254.0,-2
2024-10-23 14:20:00,1254.0,-2
2024-10-23 14:25:00,1257.0,-1
2024-10-23 14:30:00,1255.0,-1
2024-10-23 14:35:00,1248.0,-1
2024-10-23 14:40:00,1252.0,-1
2024-10-23 14:45:00,1250.0,-1
2024-10-23 14:50:00,1256.0,-1
2024-10-23 14:55:00,1254.0,-1
2024-10-23 15:00:00,1255.0,-1
2024-10-23 21:05:00,1269.0,-1
2024-10-23 21:10:00,1273.0,0
2024-10-23 21:15:00,1271.0,0
2024-10-23 21:20:00,1270.0,1
2024-10-23 21:25:00,1269.0,1
2024-10-23 21:30:00,1270.0,2
2024-10-23 21:35:00,1269.0,2
2024-10-23 21:40:00,1271.0,2
2024-10-23 21:45:00,1301.0,3
2024-10-23 21:50:00,1304.0,4
2024-10-23 21:55:00,1296.0,5
2024-10-23 22:00:00,1298.0,6
2024-10-23 22:05:00,1296.0,7
2024-10-23 22:10:00,1294.0,8
2024-10-23 22:15:00,1296.0,8
2024-10-23 22:20:00,1299.0,9
2024-10-23 22:25:00,1299.0,9
2024-10-23 22:30:00,1304.0,10
2024-10-23 22:35:00,1306.0,10
2024-10-23 22:40:00,1300.0,10
2024-10-23 22:45:00,1303.0,10
2024-10-23 22:50:00,1301.0,10
2024-10-23 22:55:00,1301.0,10
2024-10-23 23:00:00,1301.0,10
2024-10-24 09:05:00,1300.0,10
2024-10-24 09:10:00,1297.0,9
2024-10-24 09:15:00,1295.0,9
2024-10-24 09:20:00,1296.0,8
2024-10-24 09:25:00,1295.0,8
2024-10-24 09:30:00,1293.0,7
2024-10-24 09:35:00,1295.0,7
2024-10-24 09:40:00,1286.0,6
2024-10-24 09:45:00,1289.0,5
2024-10-24 09:50:00,1285.0,5
2024-10-24 09:55:00,1290.0,4
2024-10-24 10:00:00,1287.0,3
2024-10-24 10:05:00,1287.0,3
2024-10-24 10:10:00,1290.0,2
2024-10-24 10:15:00,1286.0,2
2024-10-24 10:35:00,1294.0,2
2024-10-24 10:40:00,1294.0,1
2024-10-24 10:45:00,1291.0,1
2024-10-24 10:50:00,1287.0,1
2024-10-24 10:55:00,1286.0,1
2024-10-24 11:00:00,1286.0,0
2024-10-24 11:05:00,1289.0,0
2024-10-24 11:10:00,1289.0,0
2024-10-24 11:15:00,1289.0,0
2024-10-24 11:20:00,1286.0,0
2024-10-24 11:25:00,1292.0,0
2024-10-24 11:30:00,1292.0,0
2024-10-24 13:35:00,1287.0,0
2024-10-24 13:40:00,1291.0,0
2024-10-24 13:45:00,1294.0,0
2024-10-24 13:50:00,1297.0,0
2024-10-24 13:55:00,1297.0,0
2024-10-24 14:00:00,1295.0,1
2024-10-24 14:05:00,1301.0,1
2024-10-24 14:10:00,1303.0,1
2024-10-24 14:15:00,1304.0,2
2024-10-24 14:20:00,1313.0,2
2024-10-24 14:25:00,1319.0,3
2024-10-24 14:30:00,1320.0,3
2024-10-24 14:35:00,1326.0,4
